title,abstract,published,authors,url
Video to Video Generative Adversarial Network for Few-shot Learning Based on Policy Gradient,"The development of sophisticated models for video-to-video synthesis has been
facilitated by recent advances in deep reinforcement learning and generative
adversarial networks (GANs). In this paper, we propose RL-V2V-GAN, a new deep
neural network approach based on reinforcement learning for unsupervised
conditional video-to-video synthesis. While preserving the unique style of the
source video domain, our approach aims to learn a mapping from a source video
domain to a target video domain. We train the model using policy gradient and
employ ConvLSTM layers to capture the spatial and temporal information by
designing a fine-grained GAN architecture and incorporating spatio-temporal
adversarial goals. The adversarial losses aid in content translation while
preserving style. Unlike traditional video-to-video synthesis methods requiring
paired inputs, our proposed approach is more general because it does not
require paired inputs. Thus, when dealing with limited videos in the target
domain, i.e., few-shot learning, it is particularly effective. Our experiments
show that RL-V2V-GAN can produce temporally coherent video results. These
results highlight the potential of our approach for further advances in
video-to-video synthesis.",2024-10-28 01:35:10+00:00,"['Yintai Ma', 'Diego Klabjan', 'Jean Utke']",http://arxiv.org/abs/2410.20657v1
Contrastive Sequential-Diffusion Learning: Non-linear and Multi-Scene Instructional Video Synthesis,"Generated video scenes for action-centric sequence descriptions, such as
recipe instructions and do-it-yourself projects, often include non-linear
patterns, where the next video may need to be visually consistent not with the
immediately preceding video but with earlier ones. Current multi-scene video
synthesis approaches fail to meet these consistency requirements. To address
this, we propose a contrastive sequential video diffusion method that selects
the most suitable previously generated scene to guide and condition the
denoising process of the next scene. The result is a multi-scene video that is
grounded in the scene descriptions and coherent w.r.t. the scenes that require
visual consistency. Experiments with action-centered data from the real world
demonstrate the practicality and improved consistency of our model compared to
previous work.",2024-07-16 15:03:05+00:00,"['Vasco Ramos', 'Yonatan Bitton', 'Michal Yarom', 'Idan Szpektor', 'Joao Magalhaes']",http://arxiv.org/abs/2407.11814v3
ReCapture: Generative Video Camera Controls for User-Provided Videos using Masked Video Fine-Tuning,"Recently, breakthroughs in video modeling have allowed for controllable
camera trajectories in generated videos. However, these methods cannot be
directly applied to user-provided videos that are not generated by a video
model. In this paper, we present ReCapture, a method for generating new videos
with novel camera trajectories from a single user-provided video. Our method
allows us to re-generate the reference video, with all its existing scene
motion, from vastly different angles and with cinematic camera motion. Notably,
using our method we can also plausibly hallucinate parts of the scene that were
not observable in the reference video. Our method works by (1) generating a
noisy anchor video with a new camera trajectory using multiview diffusion
models or depth-based point cloud rendering and then (2) regenerating the
anchor video into a clean and temporally consistent reangled video using our
proposed masked video fine-tuning technique.",2024-11-07 18:59:45+00:00,"['David Junhao Zhang', 'Roni Paiss', 'Shiran Zada', 'Nikhil Karnad', 'David E. Jacobs', 'Yael Pritch', 'Inbar Mosseri', 'Mike Zheng Shou', 'Neal Wadhwa', 'Nataniel Ruiz']",http://arxiv.org/abs/2411.05003v1
"StreamingT2V: Consistent, Dynamic, and Extendable Long Video Generation from Text","Text-to-video diffusion models enable the generation of high-quality videos
that follow text instructions, making it easy to create diverse and individual
content. However, existing approaches mostly focus on high-quality short video
generation (typically 16 or 24 frames), ending up with hard-cuts when naively
extended to the case of long video synthesis. To overcome these limitations, we
introduce StreamingT2V, an autoregressive approach for long video generation of
80, 240, 600, 1200 or more frames with smooth transitions. The key components
are:(i) a short-term memory block called conditional attention module (CAM),
which conditions the current generation on the features extracted from the
previous chunk via an attentional mechanism, leading to consistent chunk
transitions, (ii) a long-term memory block called appearance preservation
module, which extracts high-level scene and object features from the first
video chunk to prevent the model from forgetting the initial scene, and (iii) a
randomized blending approach that enables to apply a video enhancer
autoregressively for infinitely long videos without inconsistencies between
chunks. Experiments show that StreamingT2V generates high motion amount. In
contrast, all competing image-to-video methods are prone to video stagnation
when applied naively in an autoregressive manner. Thus, we propose with
StreamingT2V a high-quality seamless text-to-long video generator that
outperforms competitors with consistency and motion. Our code will be available
at: https://github.com/Picsart-AI-Research/StreamingT2V",2024-03-21 18:27:29+00:00,"['Roberto Henschel', 'Levon Khachatryan', 'Daniil Hayrapetyan', 'Hayk Poghosyan', 'Vahram Tadevosyan', 'Zhangyang Wang', 'Shant Navasardyan', 'Humphrey Shi']",http://arxiv.org/abs/2403.14773v1
FreeLong: Training-Free Long Video Generation with SpectralBlend Temporal Attention,"Video diffusion models have made substantial progress in various video
generation applications. However, training models for long video generation
tasks require significant computational and data resources, posing a challenge
to developing long video diffusion models. This paper investigates a
straightforward and training-free approach to extend an existing short video
diffusion model (e.g. pre-trained on 16-frame videos) for consistent long video
generation (e.g. 128 frames). Our preliminary observation has found that
directly applying the short video diffusion model to generate long videos can
lead to severe video quality degradation. Further investigation reveals that
this degradation is primarily due to the distortion of high-frequency
components in long videos, characterized by a decrease in spatial
high-frequency components and an increase in temporal high-frequency
components. Motivated by this, we propose a novel solution named FreeLong to
balance the frequency distribution of long video features during the denoising
process. FreeLong blends the low-frequency components of global video features,
which encapsulate the entire video sequence, with the high-frequency components
of local video features that focus on shorter subsequences of frames. This
approach maintains global consistency while incorporating diverse and
high-quality spatiotemporal details from local videos, enhancing both the
consistency and fidelity of long video generation. We evaluated FreeLong on
multiple base video diffusion models and observed significant improvements.
Additionally, our method supports coherent multi-prompt generation, ensuring
both visual coherence and seamless transitions between scenes.",2024-07-29 11:52:07+00:00,"['Yu Lu', 'Yuanzhi Liang', 'Linchao Zhu', 'Yi Yang']",http://arxiv.org/abs/2407.19918v1
SVG: 3D Stereoscopic Video Generation via Denoising Frame Matrix,"Video generation models have demonstrated great capabilities of producing
impressive monocular videos, however, the generation of 3D stereoscopic video
remains under-explored. We propose a pose-free and training-free approach for
generating 3D stereoscopic videos using an off-the-shelf monocular video
generation model. Our method warps a generated monocular video into camera
views on stereoscopic baseline using estimated video depth, and employs a novel
frame matrix video inpainting framework. The framework leverages the video
generation model to inpaint frames observed from different timestamps and
views. This effective approach generates consistent and semantically coherent
stereoscopic videos without scene optimization or model fine-tuning. Moreover,
we develop a disocclusion boundary re-injection scheme that further improves
the quality of video inpainting by alleviating the negative effects propagated
from disoccluded areas in the latent space. We validate the efficacy of our
proposed method by conducting experiments on videos from various generative
models, including Sora [4 ], Lumiere [2], WALT [8 ], and Zeroscope [ 42]. The
experiments demonstrate that our method has a significant improvement over
previous methods. The code will be released at
\url{https://daipengwa.github.io/SVG_ProjectPage}.",2024-06-29 08:33:55+00:00,"['Peng Dai', 'Feitong Tan', 'Qiangeng Xu', 'David Futschik', 'Ruofei Du', 'Sean Fanello', 'Xiaojuan Qi', 'Yinda Zhang']",http://arxiv.org/abs/2407.00367v1
Collaborative Video Diffusion: Consistent Multi-video Generation with Camera Control,"Research on video generation has recently made tremendous progress, enabling
high-quality videos to be generated from text prompts or images. Adding control
to the video generation process is an important goal moving forward and recent
approaches that condition video generation models on camera trajectories make
strides towards it. Yet, it remains challenging to generate a video of the same
scene from multiple different camera trajectories. Solutions to this
multi-video generation problem could enable large-scale 3D scene generation
with editable camera trajectories, among other applications. We introduce
collaborative video diffusion (CVD) as an important step towards this vision.
The CVD framework includes a novel cross-video synchronization module that
promotes consistency between corresponding frames of the same video rendered
from different camera poses using an epipolar attention mechanism. Trained on
top of a state-of-the-art camera-control module for video generation, CVD
generates multiple videos rendered from different camera trajectories with
significantly better consistency than baselines, as shown in extensive
experiments. Project page: https://collaborativevideodiffusion.github.io/.",2024-05-27 17:58:01+00:00,"['Zhengfei Kuang', 'Shengqu Cai', 'Hao He', 'Yinghao Xu', 'Hongsheng Li', 'Leonidas Guibas', 'Gordon Wetzstein']",http://arxiv.org/abs/2405.17414v1
DynamicScaler: Seamless and Scalable Video Generation for Panoramic Scenes,"The increasing demand for immersive AR/VR applications and spatial
intelligence has heightened the need to generate high-quality scene-level and
360{\deg} panoramic video. However, most video diffusion models are constrained
by limited resolution and aspect ratio, which restricts their applicability to
scene-level dynamic content synthesis. In this work, we propose the
DynamicScaler, addressing these challenges by enabling spatially scalable and
panoramic dynamic scene synthesis that preserves coherence across panoramic
scenes of arbitrary size. Specifically, we introduce a Offset Shifting
Denoiser, facilitating efficient, synchronous, and coherent denoising panoramic
dynamic scenes via a diffusion model with fixed resolution through a seamless
rotating Window, which ensures seamless boundary transitions and consistency
across the entire panoramic space, accommodating varying resolutions and aspect
ratios. Additionally, we employ a Global Motion Guidance mechanism to ensure
both local detail fidelity and global motion continuity. Extensive experiments
demonstrate our method achieves superior content and motion quality in
panoramic scene-level video generation, offering a training-free, efficient,
and scalable solution for immersive dynamic scene creation with constant VRAM
consumption regardless of the output video resolution. Our project page is
available at \url{https://dynamic-scaler.pages.dev/}.",2024-12-15 07:42:26+00:00,"['Jinxiu Liu', 'Shaoheng Lin', 'Yinxiao Li', 'Ming-Hsuan Yang']",http://arxiv.org/abs/2412.11100v1
Accelerating Video Diffusion Models via Distribution Matching,"Generative models, particularly diffusion models, have made significant
success in data synthesis across various modalities, including images, videos,
and 3D assets. However, current diffusion models are computationally intensive,
often requiring numerous sampling steps that limit their practical application,
especially in video generation. This work introduces a novel framework for
diffusion distillation and distribution matching that dramatically reduces the
number of inference steps while maintaining-and potentially
improving-generation quality. Our approach focuses on distilling pre-trained
diffusion models into a more efficient few-step generator, specifically
targeting video generation. By leveraging a combination of video GAN loss and a
novel 2D score distribution matching loss, we demonstrate the potential to
generate high-quality video frames with substantially fewer sampling steps. To
be specific, the proposed method incorporates a denoising GAN discriminator to
distil from the real data and a pre-trained image diffusion model to enhance
the frame quality and the prompt-following capabilities. Experimental results
using AnimateDiff as the teacher model showcase the method's effectiveness,
achieving superior performance in just four sampling steps compared to existing
techniques.",2024-12-08 11:36:32+00:00,"['Yuanzhi Zhu', 'Hanshu Yan', 'Huan Yang', 'Kai Zhang', 'Junnan Li']",http://arxiv.org/abs/2412.05899v1
Generative Adversarial Synthesis of Radar Point Cloud Scenes,"For the validation and verification of automotive radars, datasets of
realistic traffic scenarios are required, which, how ever, are laborious to
acquire. In this paper, we introduce radar scene synthesis using GANs as an
alternative to the real dataset acquisition and simulation-based approaches. We
train a PointNet++ based GAN model to generate realistic radar point cloud
scenes and use a binary classifier to evaluate the performance of scenes
generated using this model against a test set of real scenes. We demonstrate
that our GAN model achieves similar performance (~87%) to the real scenes test
set.",2024-10-17 13:14:25+00:00,"['Muhammad Saad Nawaz', 'Thomas Dallmann', 'Torsten Schoen', 'Dirk Heberling']",http://arxiv.org/abs/2410.13526v1
