text,topic,probability,topic_2,probability_2
video video generative adversarial network fewshot learning based policy gradient development sophisticated models videotovideo synthesis facilitated recent advances deep reinforcement learning generative adversarial networks gans paper propose new deep neural network approach based reinforcement learning unsupervised conditional videotovideo synthesis preserving unique style source video domain approach aims learn mapping source video domain target video domain train model using policy gradient employ convlstm layers capture spatial temporal information designing finegrained gan architecture incorporating spatiotemporal adversarial goals adversarial losses aid content translation preserving style unlike traditional videotovideo synthesis methods requiring paired inputs proposed approach general require paired inputs thus dealing limited videos target domain ie fewshot learning particularly effective experiments show produce temporally coherent video results results highlight potential approach advances videotovideo synthesis,-1,0.0,-1,0.0
contrastive sequentialdiffusion learning nonlinear multiscene instructional video synthesis generated video scenes actioncentric sequence descriptions recipe instructions doityourself projects often include nonlinear patterns next video may need visually consistent immediately preceding video earlier ones current multiscene video synthesis approaches fail meet consistency requirements address propose contrastive sequential video diffusion method selects suitable previously generated scene guide condition denoising process next scene result multiscene video grounded scene descriptions coherent wrt scenes require visual consistency experiments actioncentered data real world demonstrate practicality improved consistency model compared previous work,-1,0.0,-1,0.0
recapture generative video camera controls userprovided videos using masked video finetuning recently breakthroughs video modeling allowed controllable camera trajectories generated videos however methods directly applied userprovided videos generated video model paper present recapture method generating new videos novel camera trajectories single userprovided video method allows us regenerate reference video existing scene motion vastly different angles cinematic camera motion notably using method also plausibly hallucinate parts scene observable reference video method works generating noisy anchor video new camera trajectory using multiview diffusion models depthbased point cloud rendering regenerating anchor video clean temporally consistent reangled video using proposed masked video finetuning technique,1,1.0,1,1.0
consistent dynamic extendable long video generation text texttovideo diffusion models enable generation highquality videos follow text instructions making easy create diverse individual content however existing approaches mostly focus highquality short video generation typically frames ending hardcuts naively extended case long video synthesis overcome limitations introduce autoregressive approach long video generation frames smooth transitions key components arei shortterm memory block called conditional attention module cam conditions current generation features extracted previous chunk via attentional mechanism leading consistent chunk transitions ii longterm memory block called appearance preservation module extracts highlevel scene object features first video chunk prevent model forgetting initial scene iii randomized blending approach enables apply video enhancer autoregressively infinitely long videos without inconsistencies chunks experiments show generates high motion amount contrast competing imagetovideo methods prone video stagnation applied naively autoregressive manner thus propose highquality seamless texttolong video generator outperforms competitors consistency motion code available,-1,0.0,-1,0.0
freelong trainingfree long video generation spectralblend temporal attention video diffusion models made substantial progress various video generation applications however training models long video generation tasks require significant computational data resources posing challenge developing long video diffusion models paper investigates straightforward trainingfree approach extend existing short video diffusion model eg pretrained videos consistent long video generation eg frames preliminary observation found directly applying short video diffusion model generate long videos lead severe video quality degradation investigation reveals degradation primarily due distortion highfrequency components long videos characterized decrease spatial highfrequency components increase temporal highfrequency components motivated propose novel solution named freelong balance frequency distribution long video features denoising process freelong blends lowfrequency components global video features encapsulate entire video sequence highfrequency components local video features focus shorter subsequences frames approach maintains global consistency incorporating diverse highquality spatiotemporal details local videos enhancing consistency fidelity long video generation evaluated freelong multiple base video diffusion models observed significant improvements additionally method supports coherent multiprompt generation ensuring visual coherence seamless transitions scenes,-1,0.0,-1,0.0
svg stereoscopic video generation via denoising frame matrix video generation models demonstrated great capabilities producing impressive monocular videos however generation stereoscopic video remains underexplored propose posefree trainingfree approach generating stereoscopic videos using offtheshelf monocular video generation model method warps generated monocular video camera views stereoscopic baseline using estimated video depth employs novel frame matrix video inpainting framework framework leverages video generation model inpaint frames observed different timestamps views effective approach generates consistent semantically coherent stereoscopic videos without scene optimization model finetuning moreover develop disocclusion boundary reinjection scheme improves quality video inpainting alleviating negative effects propagated disoccluded areas latent space validate efficacy proposed method conducting experiments videos various generative models including sora lumiere walt zeroscope experiments demonstrate method significant improvement previous methods code released,1,0.895218963728503,1,0.895218963728503
collaborative video diffusion consistent multivideo generation camera control research video generation recently made tremendous progress enabling highquality videos generated text prompts images adding control video generation process important goal moving forward recent approaches condition video generation models camera trajectories make strides towards yet remains challenging generate video scene multiple different camera trajectories solutions multivideo generation problem could enable largescale scene generation editable camera trajectories among applications introduce collaborative video diffusion cvd important step towards vision cvd framework includes novel crossvideo synchronization module promotes consistency corresponding frames video rendered different camera poses using epipolar attention mechanism trained top stateoftheart cameracontrol module video generation cvd generates multiple videos rendered different camera trajectories significantly better consistency baselines shown extensive experiments project page httpscollaborativevideodiffusiongithubio,-1,0.0,-1,0.0
dynamicscaler seamless scalable video generation panoramic scenes increasing demand immersive arvr applications spatial intelligence heightened need generate highquality scenelevel panoramic video however video diffusion models constrained limited resolution aspect ratio restricts applicability scenelevel dynamic content synthesis work propose dynamicscaler addressing challenges enabling spatially scalable panoramic dynamic scene synthesis preserves coherence across panoramic scenes arbitrary size specifically introduce offset shifting denoiser facilitating efficient synchronous coherent denoising panoramic dynamic scenes via diffusion model fixed resolution seamless rotating window ensures seamless boundary transitions consistency across entire panoramic space accommodating varying resolutions aspect ratios additionally employ global motion guidance mechanism ensure local detail fidelity global motion continuity extensive experiments demonstrate method achieves superior content motion quality panoramic scenelevel video generation offering trainingfree efficient scalable solution immersive dynamic scene creation constant vram consumption regardless output video resolution project page available urlhttpsdynamicscalerpagesdev,1,1.0,1,1.0
accelerating video diffusion models via distribution matching generative models particularly diffusion models made significant success data synthesis across various modalities including images videos assets however current diffusion models computationally intensive often requiring numerous sampling steps limit practical application especially video generation work introduces novel framework diffusion distillation distribution matching dramatically reduces number inference steps maintainingand potentially improvinggeneration quality approach focuses distilling pretrained diffusion models efficient fewstep generator specifically targeting video generation leveraging combination video gan loss novel score distribution matching loss demonstrate potential generate highquality video frames substantially fewer sampling steps specific proposed method incorporates denoising gan discriminator distil real data pretrained image diffusion model enhance frame quality promptfollowing capabilities experimental results using animatediff teacher model showcase methods effectiveness achieving superior performance four sampling steps compared existing techniques,-1,0.0,-1,0.0
generative adversarial synthesis radar point cloud scenes validation verification automotive radars datasets realistic traffic scenarios required ever laborious acquire paper introduce radar scene synthesis using gans alternative real dataset acquisition simulationbased approaches train pointnet based gan model generate realistic radar point cloud scenes use binary classifier evaluate performance scenes generated using model test set real scenes demonstrate gan model achieves similar performance real scenes test set,-1,0.0,-1,0.0
