Topic,Count,Name,Representation,Representative_Docs
-1,1097,-1_video_models_generation_model,"['video', 'models', 'generation', 'model', 'videos', 'diffusion', 'image', 'motion', 'data', 'methods']","['sned superposition network architecture search efficient video diffusion model aigenerated content garnered significant attention achieving photorealistic video synthesis remains formidable challenge despite promising advances diffusion models video generation quality complex model architecture substantial computational demands training inference create significant gap models realworld applications paper presents sned superposition network architecture search method efficient video diffusion model method employs supernet training paradigm targets various model cost resolution options using weightsharing method moreover propose supernet training sampling warmup fast training optimization showcase flexibility method conduct experiments involving pixelspace latentspace video diffusion models results demonstrate framework consistently produces comparable results across different model options high efficiency according experiment pixelspace video diffusion model achieve consistent video generation results simultaneously across x x resolutions large range model sizes number parameters pixelspace video diffusion models', 'multisentence video grounding long video generation video generation witnessed great success recently application generating long videos still remains challenging due difficulty maintaining temporal consistency generated videos high memory cost generation tackle problems paper propose brave new idea multisentence video grounding long video generation connecting massive video moment retrieval video generation task first time providing new paradigm long video generation method work summarized three steps design sequential scene text prompts queries video grounding utilizing massive video moment retrieval search video moment segments meet text requirements video database ii based source frames retrieved video moment segments adopt video editing methods create new video content preserving temporal consistency retrieved video since editing conducted segment segment even frame frame largely reduces memory cost iii also attempt video morphing personalized generation methods improve subject consistency long video generation providing ablation experimental results subtasks long video generation approach seamlessly extends development imagevideo editing video morphing personalized generation video grounding long video generation offering effective solutions generating long videos low memory cost', 'zerosmooth trainingfree diffuser adaptation high frame rate video generation video generation made remarkable progress recent years especially since advent video diffusion models many video generation models produce plausible synthetic videos eg stable video diffusion svd however video models generate low frame rate videos due limited gpu memory well difficulty modeling large set frames training videos always uniformly sampled specified interval temporal compression previous methods promote frame rate either training video interpolation model pixel space postprocessing stage training interpolation model latent space specific base video model paper propose trainingfree video interpolation method generative video diffusion models generalizable different models plugandplay manner investigate nonlinearity feature space video diffusion models transform video model selfcascaded video diffusion model incorporating designed hidden state correction modules selfcascaded architecture correction module proposed retain temporal consistency key frames interpolated frames extensive evaluations preformed multiple popular video models demonstrate effectiveness propose method especially trainingfree method even comparable trained interpolation models supported huge compute resources largescale datasets']"
0,159,0_video_understanding_models_videos,"['video', 'understanding', 'models', 'videos', 'reasoning', 'language', 'large', 'multimodal', 'visual', 'video understanding']","['longvlm efficient long video understanding via large language models empowered large language models llms recent advancements videobased llms videollms driven progress various video understanding tasks models encode video representations pooling query aggregation vast number visual tokens making computational memory costs affordable despite successfully providing overall comprehension video content existing videollms still face challenges achieving detailed understanding due overlooking local information longterm videos tackle challenge introduce longvlm simple yet powerful videollm long video understanding building upon observation long videos often consist sequential key events complex actions camera movements approach proposes decompose long videos multiple shortterm segments encode local features segment via hierarchical token merging module features concatenated temporal order maintain storyline across sequential shortterm segments additionally propose integrate global semantics local feature enhance context understanding way encode video representations incorporate local global information enabling llm generate comprehensive responses longterm videos experimental results videochatgpt benchmark zeroshot video questionanswering datasets demonstrate superior capabilities model previous stateoftheart methods qualitative examples show model produces precise responses long video understanding code available httpsgithubcomziplablongvlm', 'cgbench cluegrounded question answering benchmark long video understanding existing video understanding benchmarks multimodal large language models mllms focus short videos limited number benchmarks long video understanding often rely solely multiplechoice questions mcqs however inherent limitation mcqbased evaluation increasing reasoning ability mllms models give current answer purely combining short video understanding elimination without genuinely understanding video content address gap introduce cgbench novel benchmark designed cluegrounded question answering long videos cgbench emphasizes models ability retrieve relevant clues questions enhancing evaluation credibility features manually curated videos categorized granular system primary categories secondary categories tertiary categories making largest benchmark long video analysis benchmark includes qa pairs three major question types perception reasoning hallucination compensating drawbacks pure mcqbased evaluation design two novel cluebased evaluation methods cluegrounded white box black box evaluations assess whether model generates answers based correct understanding video evaluate multiple closedsource opensource mllms cgbench results indicate current models significantly underperform understanding long videos compared short ones significant gap exists opensource commercial models hope cgbench advance development trustworthy capable mllms long video understanding annotations video data released httpscgbenchgithubioleaderboard', 'seconds hours reviewing multimodal large language models comprehensive long video understanding integration large language models llms visual encoders recently shown promising performance visual understanding tasks leveraging inherent capability comprehend generate humanlike text visual reasoning given diverse nature visual data multimodal large language models mmllms exhibit variations model designing training understanding images short videos long videos paper focuses substantial differences unique challenges posed long video understanding compared static image short video understanding unlike static images short videos encompass sequential frames spatial withinevent temporal information long videos consist multiple events betweenevent longterm temporal information survey aim trace summarize advancements mmllms image understanding long video understanding review differences among various visual understanding tasks highlight challenges long video understanding including finegrained spatiotemporal details dynamic events longterm dependencies provide detailed summary advancements mmllms terms model design training methodologies understanding long videos finally compare performance existing mmllms video understanding benchmarks various lengths discuss potential future directions mmllms long video understanding']"
1,122,1_scene_dynamic_scenes_video,"['scene', 'dynamic', 'scenes', 'video', 'novel', 'reconstruction', 'view', 'videos', 'camera', 'generation']","['dynamic content generation multiframe multiview consistency present stable video latent video diffusion model multiframe multiview consistent dynamic content generation unlike previous methods rely separately trained generative models video generation novel view synthesis design unified diffusion model generate novel view videos dynamic objects specifically given monocular reference video generates novel views video frame temporally consistent use generated novel view videos optimize implicit representation dynamic nerf efficiently without need cumbersome sdsbased optimization used prior works train unified novel view video generation model curate dynamic object dataset existing objaverse dataset extensive experimental results multiple datasets user studies demonstrate stateoftheart performance novelview video synthesis well generation compared prior works', 'selfcalibrating novel view synthesis monocular videos using gaussian splatting gaussian splatting gs significantly elevated scene reconstruction efficiency novel view synthesis nvs accuracy compared neural radiance fields nerf particularly dynamic scenes however current nvs methods whether based gs nerf primarily rely camera parameters provided colmap even utilize sparse point clouds generated colmap initialization lack accuracy well timeconsuming sometimes results poor dynamic scene representation especially scenes large object movements extreme camera conditions eg small translations combined large rotations studies simultaneously optimize estimation camera parameters scenes supervised additional information like depth optical flow etc obtained offtheshelf models using unverified information ground truth reduce robustness accuracy frequently occur long monocular videos eg hundreds frames propose novel approach learns highfidelity gs scene representation selfcalibration camera parameters includes extraction point features robustly represent structure use subsequent joint optimization camera parameters structure towards overall scene optimization demonstrate accuracy time efficiency method extensive quantitative qualitative experimental results several standard benchmarks results show significant improvements stateoftheart methods novel view synthesis source code released soon', 'sparse input view synthesis representations reliable priors novel view synthesis refers problem synthesizing novel viewpoints scene given images viewpoints fundamental problem computer vision graphics enables vast variety applications metaverse freeview watching events video gaming video stabilization video compression recent representations radiance fields multiplane images significantly improve quality images rendered novel viewpoints however models require dense sampling input views high quality renders performance goes significantly input views available thesis focus sparse input novel view synthesis problem static dynamic scenes first part work mainly focus sparse input novel view synthesis static scenes using neural radiance fields nerf study design reliable dense priors better regularize nerf situations particular propose prior visibility pixels pair input views show visibility prior related relative depth objects dense reliable existing priors absolute depth compute visibility prior using plane sweep volumes without need train neural network large datasets evaluate approach multiple datasets show model outperforms existing approaches sparse input novel view synthesis second part aim improve regularization learning scenespecific prior suffer generalization issues achieve learning prior given scene alone without pretraining large datasets particular design augmented nerfs obtain better depth supervision certain regions scene main nerf extend framework also apply newer faster radiance field models tensorf zipnerf extensive experiments multiple datasets show superiority approach sparse input novel view synthesis design sparse input fast dynamic radiance fields severely constrained lack suitable representations reliable priors motion address first challenge designing explicit motion model based factorized volumes compact optimizes quickly also introduce reliable sparse flow priors constrain motion field since find popularly employed dense optical flow priors unreliable show benefits motion representation reliable priors multiple datasets final part thesis study application view synthesis frame rate upsampling video gaming specifically consider problem temporal view synthesis goal predict future frames given past frames camera motion key challenge predicting future motion objects estimating past motion extrapolating explore use multiplane image representations scene depth reliably estimate object motion particularly occluded regions design new database effectively evaluate approach temporal view synthesis dynamic scenes show achieve stateoftheart performance']"
2,83,2_video_compression_coding_video compression,"['video', 'compression', 'coding', 'video compression', 'neural', 'diffusion', 'model', 'streaming', 'quality', 'latent']","['unified framework intra interframe video compression video compression aims reconstruct seamless frames encoding motion residual information existing frames previous neural video compression methods necessitate distinct codecs three types frames iframe pframe bframe hinders unified approach generalization across different video contexts intracodec techniques lack advanced motion estimation motion compensation memc found intercodec leading fragmented frameworks lacking uniformity proposed intra interframe video compression framework employs single spatiotemporal codec guides feature compression rates according content importance unified codec transforms dependence across frames conditional coding scheme thus integrating intra interframe compression one cohesive strategy given absence explicit motion data achieving competent interframe compression conditional codec poses challenge resolve approach includes implicit interframe alignment mechanism pretrained diffusion denoising process utilization diffusioninverted reference feature rather random noise supports initial compression state process allows selective denoising motionrich regions based decoded features facilitating accurate alignment without need memc experimental findings across various compression configurations ai ld ra frame types prove outperforms stateoftheart perceptual learned codecs impressively exhibits enhancement perceptual reconstruction performance benchmarked standard vtm official implementation found', 'accelerating learned video compression via lowresolution representation learning recent years field learned video compression witnessed rapid advancement exemplified latest neural video codecs dcvcdc outperformed upcoming nextgeneration codec ecm terms compression ratio despite learned video compression frameworks often exhibit low encoding decoding speeds primarily due increased computational complexity unnecessary highresolution spatial operations hugely hinder applications reality work introduce efficiencyoptimized framework learned video compression focuses lowresolution representation learning aiming significantly enhance encoding decoding speeds firstly diminish computational load reducing resolution interframe propagated features obtained reused features decoded frames including iframes implement joint training strategy iframe pframe models improving compression ratio secondly approach efficiently leverages multiframe priors parameter prediction minimizing computation decoding end thirdly revisit application online encoder update oeu strategy highresolution sequences achieving notable improvements compression ratio without compromising decoding efficiency efficiencyoptimized framework significantly improved balance compression ratio speed learned video compression comparison traditional codecs method achieves performance levels par lowdecay p configuration reference software vtm furthermore contrasted dcvchem approach delivers comparable compression ratio boosting encoding decoding speeds factor respectively rtx method decode frame', 'parameterefficient instanceadaptive neural video compression learningbased neural video codecs nvcs emerged compelling alternative standard video codecs demonstrating promising performance simple easily maintainable pipelines however nvcs often fall short compression performance occasionally exhibit poor generalization capability due inferenceonly compression scheme dependence training data instanceadaptive video compression techniques recently suggested viable solution finetuning encoder decoder networks particular test instance video however finetuning model parameters incurs high computational costs increases bitrates often leads unstable training work propose parameterefficient instanceadaptive video compression framework inspired remarkable success parameterefficient finetuning largescale neural network models propose use lightweight adapter module easily attached pretrained nvcs finetuned test video sequences resulting algorithm significantly improves compression performance reduces encoding time compared existing instantadaptive video compression algorithms furthermore suggested finetuning method enhances robustness training process allowing proposed method widely used many practical settings conducted extensive experiments various standard benchmark datasets including uvg mcljvc hevc sequences experimental results shown significant improvement ratedistortion rd curves db psnr bd rates compared baselines nvc code available httpsgithubcomohsngjunpevc']"
3,70,3_images_image_data_synthesis,"['images', 'image', 'data', 'synthesis', 'diffusion', 'medical', 'tumor', 'segmentation', 'mri', 'imaging']","['generative enhancement medical images limited availability medical image datasets due privacy concerns high collection annotation costs poses significant challenges field medical imaging promising alternative use synthesized medical data solutions realistic medical image synthesis due difficulties backbone design fewer training samples compared counterparts paper propose novel generative approach synthesis medical images enhancement existing datasets using conditional diffusion models method begins slice noted informed slice serve patient prior propagates generation process using segmentation mask decomposing medical images masks patient prior information offers flexible yet effective solution generating versatile images existing datasets enable dataset enhancement combining informed slice selection generation random positions along editable mask volumes introduce large variations diffusion sampling moreover informed slice contains patientwise information also facilitate counterfactual image synthesis datasetlevel deenhancement desired control experiments brain mri abdomen ct images demonstrate capable synthesizing highquality medical images volumetric consistency offering straightforward solution dataset enhancement inference code available', 'analyzing tumors synthesis computeraided tumor detection shown great potential enhancing interpretation million ct scans performed annually united states however challenges arise due rarity ct scans tumors especially earlystage tumors developing ai real tumor data faces issues scarcity annotation difficulty low prevalence tumor synthesis addresses challenges generating numerous tumor examples medical images aiding ai training tumor detection segmentation successful synthesis requires realistic generalizable synthetic tumors across various organs chapter reviews ai development real synthetic data summarizes two key trends synthetic data cancer imaging research modelingbased learningbased approaches modelingbased methods like simulate tumor development time using generic rules learningbased methods like difftumor learn annotated examples one organ generate synthetic tumors others reader studies expert radiologists show synthetic tumors convincingly realistic also present case studies liver pancreas kidneys reveal ai trained synthetic tumors achieve performance comparable better ai trained real data tumor synthesis holds significant promise expanding datasets enhancing ai reliability improving tumor detection performance preserving patient privacy', 'synthetic brain images bridging gap brain mapping generative adversarial model magnetic resonance imaging mri vital modality gaining precise anatomical information plays significant role medical imaging diagnosis therapy planning image synthesis problems seen revolution recent years due introduction deep learning techniques specifically generative adversarial networks gans work investigates use deep convolutional generative adversarial networks dcgan producing highfidelity realistic mri image slices suggested approach uses dataset variety brain mri scans train dcgan architecture discriminator network discerns created real slices generator network learns synthesise realistic mri image slices generator refines capacity generate slices closely mimic real mri data adversarial training approach outcomes demonstrate dcgan promise range uses medical imaging research since show effectively produce mri image slices train consequent number epochs work adds expanding corpus research application deep learning techniques medical image synthesis slices could produced possess capability enhance datasets provide data augmentation training deep learning models well number functions made available make mri data cleaning easier three ready use clean dataset major anatomical plans']"
4,69,4_detection_deepfake_videos_video,"['detection', 'deepfake', 'videos', 'video', 'dataset', 'forgery', 'models', 'attacks', 'fake', 'deepfake detection']","['tugofwar deepfake generation detection multimodal generative models rapidly evolving leading surge generation realistic video audio offers exciting possibilities also serious risks deepfake videos convincingly impersonate individuals particularly garnered attention due potential misuse spreading misinformation creating fraudulent content survey paper examines dual landscape deepfake video generation detection emphasizing need effective countermeasures potential abuses provide comprehensive overview current deepfake generation techniques including face swapping reenactment audiodriven animation leverage cuttingedge technologies like gans diffusion models produce highly realistic fake videos additionally analyze various detection approaches designed differentiate authentic altered videos detecting visual artifacts deploying advanced algorithms pinpoint inconsistencies across video audio signals effectiveness detection methods heavily relies diversity quality datasets used training evaluation discuss evolution deepfake datasets highlighting importance robust diverse frequently updated collections enhance detection accuracy generalizability deepfakes become increasingly indistinguishable authentic content developing advanced detection techniques keep pace generation technologies crucial advocate proactive approach tugofwar deepfake creators detectors emphasizing need continuous research collaboration standardization evaluation metrics creation comprehensive benchmarks', 'hindi audiovideodeepfake havdf hindi languagebased audiovideo deepfake dataset deepfakes offer great potential innovation creativity also pose significant risks privacy trust security vast hindispeaking population india particularly vulnerable deepfakedriven misinformation campaigns fake videos speeches hindi enormous impact rural semiurban communities digital literacy tends lower people inclined trust video content development effective frameworks detection tools combat deepfake misuse requires highquality diverse extensive datasets existing popular datasets like ffdf faceforensics dfdc deepfake detection challenge based english language hence paper aims create first novel hindi deep fake dataset named hindi audiovideodeepfake havdf dataset generated using faceswap lipsyn voice cloning methods multistep process allows us create rich varied dataset captures nuances hindi speech facial expressions providing robust foundation training evaluating deepfake detection models hindi language context unique kind previous datasets contain either deepfake videos synthesized audio type deepfake dataset used training detector deepfake video audio datasets notably newly introduced havdf dataset demonstrates lower detection accuracys across existing detection methods like headpose etc compared wellknown datasets ffdf dfdc trend suggests havdf dataset presents deeper challenges detect possibly due focus hindi language content diverse manipulation techniques havdf dataset fills gap hindispecific deepfake datasets aiding multilingual deepfake detection development', 'deepfake detection videos multiple faces using geometricfakeness features due development facial manipulation techniques recent years deepfake detection video stream became important problem face biometrics brand monitoring online video conferencing solutions case biometric authentication replace real datastream deepfake bypass liveness detection system using deepfake video conference penetrate private meeting deepfakes victims public figures also used fraudsters blackmailing extorsion financial fraud therefore task detecting deepfakes relevant ensuring privacy security existing approaches deepfake detection performance deteriorates multiple faces present video simultaneously objects erroneously classified faces research propose use geometricfakeness features gff characterize dynamic degree face presence video perframe deepfake scores analyze temporal inconsistencies gffs frames train complex deep learning model outputs final deepfake prediction employ approach analyze videos multiple faces simultaneously present video videos often occur practice eg online video conference case real faces appearing frame together deepfake face significantly affect deepfake detection approach allows counter problem extensive experiments demonstrate approach outperforms current stateoftheart methods popular benchmark datasets faceforensics dfdc celebdf wilddeepfake proposed approach remains accurate trained detect multiple different deepfake generation techniques']"
5,69,5_robot_manipulation_learning_policy,"['robot', 'manipulation', 'learning', 'policy', 'tasks', 'human', 'videos', 'data', 'world', 'video']","['flow crossdomain manipulation interface present scalable learning framework enables robots acquire realworld manipulation skills without need realworld robot training data key idea behind use object flow manipulation interface bridging domain gaps different embodiments ie human robot training environments ie realworld simulated comprises two components flow generation network flowconditioned policy flow generation network trained human demonstration videos generates object flow initial scene image conditioned task description flowconditioned policy trained simulated robot play data maps generated object flow robot actions realize desired object movements using flow input policy directly deployed real world minimal simtoreal gap leveraging realworld human videos simulated robot play data bypass challenges teleoperating physical robots real world resulting scalable system diverse tasks demonstrate capabilities variety realworld tasks including manipulation rigid articulated deformable objects', 'human video generation novel scenarios enables generalizable robot manipulation robot manipulation policies generalize novel tasks involving unseen object types new motions paper provide solution terms predicting motion information web data human video generation conditioning robot policy generated video instead attempting scale robot data collection expensive show leverage video generation models trained easily available web data enabling generalization approach casts languageconditioned manipulation zeroshot human video generation followed execution single policy conditioned generated video train policy use order magnitude less robot interaction data compared video prediction model trained doesnt require finetuning video model directly use pretrained model generating human videos results diverse realworld scenarios show enables manipulating unseen object types performing novel motions tasks present robot data videos', 'moto latent motion token bridging language learning robot manipulation videos recent developments large language models pretrained extensive corpora shown significant success various natural language processing tasks minimal finetuning success offers new promise robotics long constrained high cost actionlabeled data ask given abundant video data containing interactionrelated knowledge available rich corpus similar generative pretraining approach effectively applied enhance robot learning key challenge identify effective representation autoregressive pretraining benefits robot manipulation tasks inspired way humans learn new skills observing dynamic environments propose effective robotic learning emphasize motionrelated knowledge closely tied lowlevel actions hardwareagnostic facilitating transfer learned motions actual robot actions end introduce moto converts video content latent motion token sequences latent motion tokenizer learning bridging language motion videos unsupervised manner pretrain motogpt motion token autoregression enabling capture diverse visual motion knowledge pretraining motogpt demonstrates promising ability produce semantically interpretable motion tokens predict plausible motion trajectories assess trajectory rationality output likelihood transfer learned motion priors real robot actions implement cofinetuning strategy seamlessly bridges latent motion token prediction real robot control extensive experiments show finetuned motogpt exhibits superior robustness efficiency robot manipulation benchmarks underscoring effectiveness transferring knowledge video data downstream visual manipulation tasks']"
6,67,6_talking_facial_face_head,"['talking', 'facial', 'face', 'head', 'lip', 'talking head', 'motion', 'generation', 'audiodriven', 'audio']","['posetalk textandaudiobased pose control motion refinement oneshot talking head generation previous audiodriven talking head generation thg methods generate head poses driving audio generated poses lips match audio well editable study propose textbfposetalk thg system freely generate lipsynchronized talking head videos free head poses conditioned text prompts audio core insight method using head pose connect visual linguistic audio signals first propose generate poses audio text prompts audio offers shortterm variations rhythm correspondence head movements text prompts describe longterm semantics head motions achieve goal devise pose latent diffusion pld model generate motion latent text prompts audio cues pose latent space second observe lossimbalance problem loss lip region contributes less total reconstruction loss caused pose lip making optimization lean towards head movements rather lip shapes address issue propose refinementbased learning strategy synthesize natural talking videos using two cascaded networks ie coarsenet refinenet coarsenet estimates coarse motions produce animated images novel poses refinenet focuses learning finer lip motions progressively estimating lip motions lowtohigh resolutions yielding improved lipsynchronization performance experiments demonstrate pose prediction strategy achieves better pose diversity realness compared textonly audioonly video generator model outperforms stateoftheart methods synthesizing talking videos natural head motions project httpsjunleengithubioprojectsposetalk', 'emotivetalk expressive talking head generation audio information decoupling emotional video diffusion diffusion models revolutionized field talking head generation yet still face challenges expressiveness controllability stability longtime generation research propose emotivetalk framework address issues firstly realize better control generation lip movement facial expression visionguided audio information decoupling vaid approach designed generate audiobased decoupled representations aligned lip movements expression specifically achieve alignment audio facial expression representation spaces present diffusionbased cospeech temporal expansion dicte module within vaid generate expressionrelated representations multisource emotion condition constraints propose welldesigned emotional talking head diffusion ethd backbone efficiently generate highly expressive talking head videos contains expression decoupling injection edi module automatically decouple expressions reference portraits integrating target expression information achieving expressive generation performance experimental results show emotivetalk generate expressive talking head videos ensuring promised controllability emotions stability longtime generation yielding stateoftheart performance compared existing methods', 'emodiffhead continuously emotional control talking head generation via diffusion task audiodriven portrait animation involves generating talking head video using identity image audio track speech many existing approaches focus lip synchronization video quality tackle challenge generating emotiondriven talking head videos ability control edit emotions essential producing expressive realistic animations response challenge propose emodiffhead novel method emotional talking head video generation enables finegrained control emotion categories intensities also enables oneshot generation given flame models linearity expression modeling utilize deca method extract expression vectors combined audio guide diffusion model generating videos precise lip synchronization rich emotional expressiveness approach enables learning rich facial information emotionirrelevant data also facilitates generation emotional videos effectively overcomes limitations emotional data lack diversity facial background information addresses absence emotional details emotionirrelevant data extensive experiments user studies demonstrate approach achieves stateoftheart performance compared emotion portrait animation methods']"
7,52,7_action_video_segmentation_instance,"['action', 'video', 'segmentation', 'instance', 'openvocabulary', 'temporal', 'training', 'pseudo', 'detection', 'task']","['advancing weaklysupervised audiovisual video parsing via segmentwise pseudo labeling audiovisual video parsing task aims identify temporally localize events occur either audio visual streams audible videos often performs weaklysupervised manner video event labels provided ie modalities timestamps labels unknown due lack densely annotated labels recent work attempts leverage pseudo labels enrich supervision commonly used strategy generate pseudo labels categorizing known video event labels modality however labels still confined video level temporal boundaries events remain unlabeled paper propose new pseudo label generation strategy explicitly assign labels video segment utilizing prior knowledge learned open world specifically exploit largescale pretrained models namely clip clap estimate events video segment generate segmentlevel visual audio pseudo labels respectively propose new loss function exploit pseudo labels taking account categoryrichness segmentrichness label denoising strategy also adopted improve visual pseudo labels flipping whenever abnormally large forward losses occur perform extensive experiments llp dataset demonstrate effectiveness proposed design achieve stateoftheart video parsing performance types event parsing ie audio event visual event audiovisual event also examine proposed pseudo label generation strategy relevant weaklysupervised audiovisual event localization task experimental results verify benefits generalization method', 'openvocabulary spatiotemporal action detection spatiotemporal action detection stad important finegrained video understanding task current methods require box label supervision action classes advance however realworld applications likely come across new action classes seen training action category space large hard enumerate also cost data annotation model training new classes extremely high traditional methods need perform detailed box annotations retrain whole network scratch paper propose new challenging setting performing openvocabulary stad better mimic situation action detection open world openvocabulary spatiotemporal action detection ovstad requires training model limited set base classes box label supervision expected yield good generalization performance novel action classes ovstad build two benchmarks based existing stad datasets propose simple effective method based pretrained videolanguage models vlm better adapt holistic vlm finegrained action detection task carefully finetune localized video regiontext pairs customized finetuning endows vlm better motion understanding thus contributing accurate alignment video regions texts local region feature global video feature fusion alignment adopted improve action detection performance providing global context method achieves promising performance novel classes', 'clipvis adapting clip openvocabulary video instance segmentation openvocabulary video instance segmentation strives segment track instances belonging open set categories videos visionlanguage model contrastive languageimage pretraining clip shown robust zeroshot classification ability imagelevel openvocabulary tasks paper propose simple encoderdecoder network called clipvis adapt clip openvocabulary video instance segmentation clipvis adopts frozen clip introduces three modules including classagnostic mask generation temporal topkenhanced matching weighted openvocabulary classification given set initial queries classagnostic mask generation introduces pixel decoder transformer decoder clip pretrained image encoder predict query masks corresponding object scores mask iou scores temporal topkenhanced matching performs query matching across frames using k mostly matched frames finally weighted openvocabulary classification first employs mask pooling generate query visual features clip pretrained image encoder second performs weighted classification using object scores mask iou scores clipvis require annotations instance categories identities experiments performed various video instance segmentation datasets demonstrate effectiveness proposed method especially novel categories using convnextb backbone clipvis achieves ap apn scores validation set lvvis dataset outperforms respectively release source code models']"
8,50,8_audio_music_sound_generation,"['audio', 'music', 'sound', 'generation', 'video', 'videotoaudio', 'model', 'audiovisual', 'alignment', 'dance']","['sonicvisionlm playing sound vision language models growing interest task generating sound silent videos primarily practicality streamlining video postproduction however existing methods videosound generation attempt directly create sound visual representations challenging due difficulty aligning visual representations audio representations paper present sonicvisionlm novel framework aimed generating wide range sound effects leveraging visionlanguage modelsvlms instead generating audio directly video use capabilities powerful vlms provided silent video approach first identifies events within video using vlm suggest possible sounds match video content shift approach transforms challenging task aligning image audio wellstudied subproblems aligning imagetotext texttoaudio popular diffusion models improve quality audio recommendations llms collected extensive dataset maps text descriptions specific sound effects developed timecontrolled audio adapter approach surpasses current stateoftheart methods converting video audio enhancing synchronization visuals improving alignment audio video components project page httpsyusiissygithubiosonicvisionlmgithubio', 'tell hear see video audio generation text content visual audio scenes multifaceted video paired various audio viceversa thereby videotoaudio generation task imperative introduce steering approaches controlling generated audio videotoaudio generation wellestablished generative task existing methods lack controllability work propose vatt multimodal generative framework takes video optional text prompt input generates audio optional textual description audio framework two advantages videotoaudio generation process refined controlled via text complements context visual information ii model suggest audio generate video generating audio captions vatt consists two key modules vatt converter llm finetuned instructions includes projection layer maps video features llm vector space vatt audio transformer generates audio tokens visual frames optional text prompt using iterative parallel decoding audio tokens converted waveform pretrained neural codec experiments show vatt compared existing videotoaudio generation methods objective metrics achieves competitive performance audio caption provided audio caption provided prompt vatt achieves even refined performance lowest kld score furthermore subjective studies show vatt audio chosen preferred generated audio audio generated existing methods vatt enables controllable videotoaudio generation text well suggesting text prompts videos audio captions unlocking novel applications textguided videotoaudio generation videotoaudio captioning', 'vintage joint video text conditioning holistic audio generation recent advances audio generation focused texttoaudio videotoaudio tasks however methods generate holistic sounds onscreen offscreen generate sounds aligning onscreen objects generate semantically complete offscreen sounds missing work address task holistic audio generation given video text prompt aim generate onscreen offscreen sounds temporally synchronized video semantically aligned text video previous approaches joint text videotoaudio generation often suffer modality bias favoring one modality overcome limitation introduce vintage flowbased transformer model jointly considers text video guide audio generation framework comprises two key components visualtext encoder joint vtsit model reduce modality bias improve generation quality employ pretrained unimodal texttoaudio videotoaudio generation models additional guidance due lack appropriate benchmarks also introduce vintagebench dataset videotextaudio pairs containing onscreen offscreen sounds comprehensive experiments vintagebench demonstrate joint text visual interaction necessary holistic audio generation furthermore vintage achieves stateoftheart results vggsound benchmark source code pretrained models released demo available httpswwwyoutubecomwatchvqmqwhujpkji']"
